    z           x_e           tau
 4.81  9.318182E-01  2.852309E-02
 4.82  9.318182E-01  2.860345E-02
 4.83  9.318182E-01  2.868387E-02
 4.84  9.318182E-01  2.876437E-02
 4.85  9.318182E-01  2.884493E-02
 4.86  9.318182E-01  2.892557E-02
 4.87  9.318182E-01  2.900628E-02
 4.88  9.318182E-01  2.908706E-02
 4.89  9.318182E-01  2.916791E-02
 4.90  9.318182E-01  2.924883E-02
 4.91  9.318182E-01  2.932982E-02
 4.92  9.318182E-01  2.941089E-02
 4.93  9.318182E-01  2.949202E-02
 4.94  9.318182E-01  2.957322E-02
 4.95  9.318182E-01  2.965450E-02
 4.96  9.318182E-01  2.973584E-02
 4.97  9.318182E-01  2.981725E-02
 4.98  9.318182E-01  2.989874E-02
 4.99  9.318182E-01  2.998029E-02
 5.00  9.318182E-01  3.006192E-02
 5.01  9.318182E-01  3.014361E-02
 5.02  9.318182E-01  3.022538E-02
 5.03  9.318182E-01  3.030721E-02
 5.04  9.318182E-01  3.038911E-02
 5.05  9.318182E-01  3.047109E-02
 5.06  9.318182E-01  3.055313E-02
 5.07  9.318182E-01  3.063524E-02
 5.08  9.318182E-01  3.071743E-02
 5.09  9.318182E-01  3.079968E-02
 5.10  9.318182E-01  3.088200E-02
 5.11  9.318182E-01  3.096439E-02
 5.12  9.318182E-01  3.104685E-02
 5.13  9.318182E-01  3.112938E-02
 5.14  9.318182E-01  3.121198E-02
 5.15  9.318182E-01  3.129464E-02
 5.16  9.318182E-01  3.137738E-02
 5.17  9.318182E-01  3.146018E-02
 5.18  9.318182E-01  3.154306E-02
 5.19  9.318182E-01  3.162600E-02
 5.20  9.318182E-01  3.170901E-02
 5.21  9.318182E-01  3.179209E-02
 5.22  9.318182E-01  3.187524E-02
 5.23  9.318182E-01  3.195846E-02
 5.24  9.318182E-01  3.204174E-02
 5.25  9.318182E-01  3.212510E-02
 5.26  9.318182E-01  3.220852E-02
 5.27  9.318182E-01  3.229201E-02
 5.28  9.318182E-01  3.237557E-02
 5.29  9.318182E-01  3.245920E-02
 5.30  9.318182E-01  3.254289E-02
 5.31  9.318182E-01  3.262666E-02
 5.32  9.318182E-01  3.271049E-02
 5.33  9.318182E-01  3.279439E-02
 5.34  9.318182E-01  3.287835E-02
 5.35  9.318182E-01  3.296239E-02
 5.36  9.318182E-01  3.304649E-02
 5.37  9.318182E-01  3.313066E-02
 5.38  9.318182E-01  3.321490E-02
 5.39  9.318182E-01  3.329921E-02
 5.40  9.318182E-01  3.338358E-02
 5.41  9.318182E-01  3.346802E-02
 5.42  9.318182E-01  3.355253E-02
 5.43  9.318182E-01  3.363710E-02
 5.44  9.318182E-01  3.372175E-02
 5.45  9.318182E-01  3.380646E-02
 5.46  9.318182E-01  3.389123E-02
 5.47  9.318182E-01  3.397608E-02
 5.48  9.318182E-01  3.406099E-02
 5.49  9.318182E-01  3.414597E-02
 5.50  9.318182E-01  3.423101E-02
 5.51  9.318182E-01  3.431612E-02
 5.52  9.318182E-01  3.440130E-02
 5.53  9.318182E-01  3.448655E-02
 5.54  9.318182E-01  3.457186E-02
 5.55  9.318182E-01  3.465724E-02
 5.56  9.318182E-01  3.474268E-02
 5.57  9.318182E-01  3.482819E-02
 5.58  9.318182E-01  3.491377E-02
 5.59  9.318182E-01  3.499942E-02
 5.60  9.318182E-01  3.508513E-02
 5.61  9.318182E-01  3.517091E-02
 5.62  9.318182E-01  3.525675E-02
 5.63  9.318182E-01  3.534266E-02
 5.64  9.318182E-01  3.542864E-02
 5.65  9.318182E-01  3.551468E-02
 5.66  9.318182E-01  3.560079E-02
 5.67  9.318182E-01  3.568696E-02
 5.68  9.318182E-01  3.577320E-02
 5.69  9.318182E-01  3.585951E-02
 5.70  9.318182E-01  3.594588E-02
 5.71  9.318182E-01  3.603232E-02
 5.72  9.318182E-01  3.611882E-02
 5.73  9.318182E-01  3.620539E-02
 5.74  9.318182E-01  3.629202E-02
 5.75  9.318182E-01  3.637872E-02
 5.76  9.318182E-01  3.646549E-02
 5.77  9.318182E-01  3.655232E-02
 5.78  9.318182E-01  3.663921E-02
 5.79  9.318182E-01  3.672618E-02
 5.80  9.318182E-01  3.681320E-02
 5.81  9.318182E-01  3.690029E-02
 5.82  9.318182E-01  3.698745E-02
 5.83  9.318182E-01  3.707467E-02
 5.84  9.318182E-01  3.716196E-02
 5.85  9.318182E-01  3.724931E-02
 5.86  9.318182E-01  3.733673E-02
 5.87  9.318182E-01  3.742421E-02
 5.88  9.318182E-01  3.751176E-02
 5.89  9.318182E-01  3.759937E-02
 5.90  9.318182E-01  3.768705E-02
 5.91  9.318182E-01  3.777479E-02
 5.92  9.318182E-01  3.786260E-02
 5.93  9.318182E-01  3.795047E-02
 5.94  9.318182E-01  3.803840E-02
 5.95  9.318182E-01  3.812640E-02
 5.96  9.318182E-01  3.821446E-02
 5.97  9.318182E-01  3.830259E-02
 5.98  9.318182E-01  3.839078E-02
